baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison_exp_vs_contr	gene	symbol	FoldChange
AHNAK2	55.7694254243138	-1.47941402519581	0.399748341099473	-3.70086345105727	0.000214867083619109	0.0461310286483114	shIFI6_2_Day4_vs_shSCR_Day4	AHNAK2	AHNAK2	0.358634447825828
ALAS2	42.6638645110641	5.42918778230395	1.4472746076132	3.75131834258986	0.000175907181155694	0.0407170153381319	shIFI6_2_Day4_vs_shSCR_Day4	ALAS2	ALAS2	43.0872101165265
ALDH7A1	39.4905337329415	-2.04061117414231	0.550159364614031	-3.70912740088304	0.000207974767065441	0.0459841522284693	shIFI6_2_Day4_vs_shSCR_Day4	ALDH7A1	ALDH7A1	0.24306074633234
ARHGEF5	29.9194723860215	-2.6378419200332	0.635799836582617	-4.14885592643659	3.3414101362404e-05	0.0123749124395663	shIFI6_2_Day4_vs_shSCR_Day4	ARHGEF5	ARHGEF5	0.160668396086479
AVPR1A	133.824453352339	1.63975941545801	0.43789398464394	3.74464932828736	0.00018064590921568	0.0411705922941706	shIFI6_2_Day4_vs_shSCR_Day4	AVPR1A	AVPR1A	3.11613862648517
C4orf32	73.5964770607335	1.60004861603796	0.357620820745776	4.47414838068222	7.67164562010064e-06	0.00417401042648604	shIFI6_2_Day4_vs_shSCR_Day4	C4orf32	C4orf32	3.03153528818684
CD7	240.399478046233	-1.24256145872202	0.25351540710288	-4.90132522090768	9.51923174469474e-07	0.00070508949532954	shIFI6_2_Day4_vs_shSCR_Day4	CD7	CD7	0.422621638525315
CHDH	36.6005079914643	2.86826697709594	0.648260526043729	4.42455904973991	9.66394685983668e-06	0.00461811963811679	shIFI6_2_Day4_vs_shSCR_Day4	CHDH	CHDH	7.30187502758626
CHRDL1	371.895746894208	1.0628497644298	0.268011809550766	3.96568258022404	7.31862050290577e-05	0.0221832237631535	shIFI6_2_Day4_vs_shSCR_Day4	CHRDL1	CHRDL1	2.08905397000983
CLDN5	30.227783748387	2.5386655689283	0.664599721199909	3.81984145937472	0.000133537479088675	0.0348589623857497	shIFI6_2_Day4_vs_shSCR_Day4	CLDN5	CLDN5	5.81051310737826
COL7A1	67.1447758499926	-2.52358693701139	0.567016132631538	-4.45064397956254	8.5613171835292e-06	0.00437335699161384	shIFI6_2_Day4_vs_shSCR_Day4	COL7A1	COL7A1	0.173910032116838
CYP51A1	86.9084817742853	3.07246807855891	0.621625392326034	4.94263605780673	7.70732811134311e-07	0.000600928203375983	shIFI6_2_Day4_vs_shSCR_Day4	CYP51A1	CYP51A1	8.41211211733918
DEPTOR	176.231019422313	1.17792188887668	0.312232285372315	3.77258196560965	0.00016156686360641	0.0381483638915468	shIFI6_2_Day4_vs_shSCR_Day4	DEPTOR	DEPTOR	2.26250642461039
GOLGA2P7	66.1967621556955	-1.98167964444779	0.485086706627496	-4.0852070719999	4.40375255979939e-05	0.015532664385921	shIFI6_2_Day4_vs_shSCR_Day4	GOLGA2P7	GOLGA2P7	0.253194918425765
GP1BB	159.075345272163	2.06529277264233	0.431548012022844	4.78577751514008	1.70326655811237e-06	0.00105134128299486	shIFI6_2_Day4_vs_shSCR_Day4	GP1BB	GP1BB	4.18518899236555
GPHN	124.827260666353	-2.13713242127901	0.293745474273247	-7.27545650385413	3.45250925272998e-13	1.02290944139884e-09	shIFI6_2_Day4_vs_shSCR_Day4	GPHN	GPHN	0.227331195844896
GPR97	245.33926213401	1.0121027498265	0.273300865040333	3.70325483483974	0.000212850876280064	0.0461310286483114	shIFI6_2_Day4_vs_shSCR_Day4	GPR97	GPR97	2.0168485461454
