baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison_exp_vs_contr	gene	symbol	FoldChange
ABCA1	917.13437536957	1.2454713433662	0.3286448193645	3.78971847411003	0.000150818115262509	0.00688887940983046	shIFI6_2_Day2_vs_shSCR_Day2	ABCA1	ABCA1	2.37096003248286
ABCA12	71.0339190005321	6.61798211506408	1.98094211213825	3.34082559733184	0.000835296749424476	0.0221948181978008	shIFI6_2_Day2_vs_shSCR_Day2	ABCA12	ABCA12	98.2225324822929
ABCB1	215.864023099923	1.79274407457272	0.433103795237493	4.13929430839937	3.48375794146583e-05	0.00255684156878747	shIFI6_2_Day2_vs_shSCR_Day2	ABCB1	ABCB1	3.46473274832114
ABCB9	191.450263915946	2.48474535908566	0.433419740024911	5.73288461421451	9.87368065077568e-09	8.29334320883764e-06	shIFI6_2_Day2_vs_shSCR_Day2	ABCB9	ABCB9	5.59735542162641
ABHD4	451.574306376884	1.13302632901804	0.301377688157533	3.75948974837777	0.000170260253782444	0.00750485357707513	shIFI6_2_Day2_vs_shSCR_Day2	ABHD4	ABHD4	2.19318320215095
ACAN	166.084939439438	3.85621576603343	0.943879008895777	4.08549796074471	4.39823868740081e-05	0.00303639135684077	shIFI6_2_Day2_vs_shSCR_Day2	ACAN	ACAN	14.4822691778463
ACER2	177.275224401556	3.10105804459359	0.889406379110743	3.48666044839269	0.000489091902009431	0.0151840886596932	shIFI6_2_Day2_vs_shSCR_Day2	ACER2	ACER2	8.58047814980654
ACTA2	442.441967091113	1.58724597734218	0.331242153788142	4.79179947114268	1.65292067487569e-06	0.00031238134604307	shIFI6_2_Day2_vs_shSCR_Day2	ACTA2	ACTA2	3.00475211594294
ACTG1	38218.9915504015	-1.00636195764761	0.205649224644933	-4.89358498377593	9.90155281728794e-07	0.000213859395777966	shIFI6_2_Day2_vs_shSCR_Day2	ACTG1	ACTG1	0.49779996788315
ADM	51.5132426111688	3.1425590765301	0.63640592916256	4.93797894162513	7.89363639976362e-07	0.000195645719226272	shIFI6_2_Day2_vs_shSCR_Day2	ADM	ADM	8.83089142487568
ADM5	84.9584014927355	-1.22393402311477	0.402180040481689	-3.04324904251557	0.00234038557883856	0.0427399342825249	shIFI6_2_Day2_vs_shSCR_Day2	ADM5	ADM5	0.428113720190343
ADRA2A	36.8364679404405	3.70260213722238	0.852870790874124	4.34134006796917	1.41616341067148e-05	0.00145652888475797	shIFI6_2_Day2_vs_shSCR_Day2	ADRA2A	ADRA2A	13.0194999813255
ADRB2	75.3741494070879	2.52845736129703	0.510911106624494	4.94891837055987	7.46270347531093e-07	0.00018804768973871	shIFI6_2_Day2_vs_shSCR_Day2	ADRB2	ADRB2	5.76954424932968
AEN	1538.14774322288	1.97404187847619	0.616280837850708	3.20315310364135	0.00135931694052977	0.0302673237464942	shIFI6_2_Day2_vs_shSCR_Day2	AEN	AEN	3.92867242069593
AGRN	238.375084077349	2.33316195880437	0.499753421924855	4.66862627937182	3.03220378959616e-06	0.000498303142335917	shIFI6_2_Day2_vs_shSCR_Day2	AGRN	AGRN	5.03908558227893
AIF1L	55.5804585096481	2.68982209472123	0.622473201851631	4.32118537267145	1.55193223037115e-05	0.00156424422606543	shIFI6_2_Day2_vs_shSCR_Day2	AIF1L	AIF1L	6.45233835756444
ALDH4A1	505.408978345053	1.06263897837678	0.283422823790159	3.74930629850594	0.000177324399505394	0.00774846126046837	shIFI6_2_Day2_vs_shSCR_Day2	ALDH4A1	ALDH4A1	2.08874876949163
ALDH7A1	39.4905337329415	2.12708499352212	0.655024194794516	3.24733805319877	0.00116489937065993	0.0276051937069083	shIFI6_2_Day2_vs_shSCR_Day2	ALDH7A1	ALDH7A1	4.36833952747698
ALOX12B	21.506945692651	2.82561704915714	0.879598608731623	3.2123937226682	0.00131633840915961	0.0297040603105733	shIFI6_2_Day2_vs_shSCR_Day2	ALOX12B	ALOX12B	7.0891715848883
ALOX5AP	62.1439885107925	2.18464271725206	0.445708296682542	4.90150785505365	9.51038462488044e-07	0.000213859395777966	shIFI6_2_Day2_vs_shSCR_Day2	ALOX5AP	ALOX5AP	4.54614190362144
AMZ2P1	124.493088482796	1.45586398003764	0.371463110277181	3.91926934265774	8.88178151995685e-05	0.0047117071859729	shIFI6_2_Day2_vs_shSCR_Day2	AMZ2P1	AMZ2P1	2.74320793026059
ANGPT4	19.4572221338882	4.50703183813167	1.12503157643421	4.00613807873441	6.17195775699303e-05	0.00366844623193256	shIFI6_2_Day2_vs_shSCR_Day2	ANGPT4	ANGPT4	22.7379744786094
ANK1	213.906351140621	3.63411929844669	0.865772056518046	4.19754746192937	2.69821121656527e-05	0.00217749385029117	shIFI6_2_Day2_vs_shSCR_Day2	ANK1	ANK1	12.415920315559
ANKRA2	263.652656107423	1.34891023192932	0.330834529653512	4.077295780891	4.55625175710471e-05	0.00306159868069627	shIFI6_2_Day2_vs_shSCR_Day2	ANKRA2	ANKRA2	2.54719645282867
ANTXR1	30.2026431710893	3.99339355323129	0.906725788444716	4.40419099591406	1.06179366772208e-05	0.00117177069067811	shIFI6_2_Day2_vs_shSCR_Day2	ANTXR1	ANTXR1	15.9268996605169
AP3B2	29.6312152198072	3.32608112827997	1.02551879213566	3.24331563086557	0.00118147248042642	0.0279104412993236	shIFI6_2_Day2_vs_shSCR_Day2	AP3B2	AP3B2	10.0288281071694
APOBEC3H	88.5956735038047	3.26916532171815	0.723637157999628	4.51768581198235	6.2519158336343e-06	0.00080387088253081	shIFI6_2_Day2_vs_shSCR_Day2	APOBEC3H	APOBEC3H	9.64088322747903
AQP3	98.6540291979611	2.14489129859011	0.429567751413531	4.99313854806873	5.94059095428619e-07	0.000166949214143904	shIFI6_2_Day2_vs_shSCR_Day2	AQP3	AQP3	4.42258937597286
ARC	39.3494209775112	3.71864431439247	0.700781611953998	5.30642392859557	1.11796785361514e-07	5.12198666024462e-05	shIFI6_2_Day2_vs_shSCR_Day2	ARC	ARC	13.165079373053
ARG2	339.677896997449	1.56526408535566	0.346946499134183	4.51154310322146	6.43577014131046e-06	0.000817667300558595	shIFI6_2_Day2_vs_shSCR_Day2	ARG2	ARG2	2.95931667189642
ARHGAP6	119.87936136296	3.593450327371	0.902988377306179	3.97950894793472	6.90577610198759e-05	0.00395486473052842	shIFI6_2_Day2_vs_shSCR_Day2	ARHGAP6	ARHGAP6	12.0708078454584
ARHGEF12	220.90084677545	1.596355655971	0.493457226068122	3.2350436302064	0.00121624144086694	0.0283933261724948	shIFI6_2_Day2_vs_shSCR_Day2	ARHGEF12	ARHGEF12	3.02378519413034
ARHGEF5	29.9194723860215	-2.49020442736139	0.74786658713579	-3.32974419528285	0.000869258036770443	0.0228561952311867	shIFI6_2_Day2_vs_shSCR_Day2	ARHGEF5	ARHGEF5	0.177981053059157
ARRDC4	151.069902192097	1.87318720283262	0.413300975964305	4.53225932617782	5.83561466812667e-06	0.000787755876494707	shIFI6_2_Day2_vs_shSCR_Day2	ARRDC4	ARRDC4	3.66341007568422
ARVCF	763.167303142174	1.37951489946335	0.394435021333369	3.49744526943872	0.000469737085965653	0.0147582486751516	shIFI6_2_Day2_vs_shSCR_Day2	ARVCF	ARVCF	2.60180871583161
ASCC3	2515.42459542688	1.25518847006491	0.33097961322459	3.79234375747846	0.000149232142188138	0.00683709320528019	shIFI6_2_Day2_vs_shSCR_Day2	ASCC3	ASCC3	2.38698329521219
ASF1B	1420.17635607961	1.25141075514258	0.341788728494493	3.66135758968639	0.000250882302854359	0.00972587060732066	shIFI6_2_Day2_vs_shSCR_Day2	ASF1B	ASF1B	2.38074112590769
ASPA	5.32883822089906	7.15415153755631	2.39730644173789	2.9842457405529	0.00284278357591887	0.0484009514463034	shIFI6_2_Day2_vs_shSCR_Day2	ASPA	ASPA	142.434175625864
ATF3	842.514121832176	3.25674972849021	0.58320414228418	5.58423627742904	2.3472940660714e-08	1.61312449931516e-05	shIFI6_2_Day2_vs_shSCR_Day2	ATF3	ATF3	9.55827137398039
ATL3	734.958273680144	1.30513144514277	0.222475597563619	5.86640269510708	4.45351421965739e-09	4.5947097876538e-06	shIFI6_2_Day2_vs_shSCR_Day2	ATL3	ATL3	2.47106240454473
ATP2B2	16.5423571041904	3.25261437257262	1.00877331646277	3.2243263372368	0.00126269416525389	0.0287077790743963	shIFI6_2_Day2_vs_shSCR_Day2	ATP2B2	ATP2B2	9.53091267587197
ATP9A	358.385609241992	1.91369429698216	0.348093324335993	5.49764722041894	3.84891950022341e-08	2.32767255695511e-05	shIFI6_2_Day2_vs_shSCR_Day2	ATP9A	ATP9A	3.76772664035842
AVPI1	49.2595007446955	1.73067522213582	0.42017352913355	4.11895348501532	3.80596957404176e-05	0.00274011685666369	shIFI6_2_Day2_vs_shSCR_Day2	AVPI1	AVPI1	3.31883112677427
AXL	31.3809631127328	7.01832134933869	1.68012620518744	4.17725842717612	2.95043747996976e-05	0.00229936413709602	shIFI6_2_Day2_vs_shSCR_Day2	AXL	AXL	129.635887532384
BACE1	466.175973837321	1.63839457338947	0.279980705759156	5.85181242738506	4.86244834992134e-09	4.5947097876538e-06	shIFI6_2_Day2_vs_shSCR_Day2	BACE1	BACE1	3.11319203982716
BAGE2	26.1056483714476	-2.51702808802161	0.625696349378944	-4.02276294327108	5.75193824618182e-05	0.00353883811720852	shIFI6_2_Day2_vs_shSCR_Day2	BAGE2	BAGE2	0.174702470142649
BAIAP2L1	266.812428522156	1.61339606790062	0.438822013946388	3.67665253023914	0.000236314578590625	0.00940221082555701	shIFI6_2_Day2_vs_shSCR_Day2	BAIAP2L1	BAIAP2L1	3.05971243357326
BAIAP3	46.6940453396955	-1.39880877496277	0.417995475411118	-3.34646869942068	0.000818479195164707	0.0218632278298502	shIFI6_2_Day2_vs_shSCR_Day2	BAIAP3	BAIAP3	0.379242150457855
BAX	1126.14727596842	1.41182068228679	0.378096919970027	3.73401794015858	0.000188449061739628	0.00802580666039842	shIFI6_2_Day2_vs_shSCR_Day2	BAX	BAX	2.66072735031379
BBC3	461.992759593557	4.0772316000234	1.01811341410089	4.00469293848176	6.20980904848344e-05	0.00366844623193256	shIFI6_2_Day2_vs_shSCR_Day2	BBC3	BBC3	16.879866629593
BCL6	120.576307774315	1.94460067593637	0.586194233359828	3.31733163731534	0.000908816710279824	0.0234643378258337	shIFI6_2_Day2_vs_shSCR_Day2	BCL6	BCL6	3.84931217248092
BDNF	11.2085640486791	3.68995419235507	1.16823723819103	3.15856580472373	0.00158547510877679	0.0332146327444009	shIFI6_2_Day2_vs_shSCR_Day2	BDNF	BDNF	12.9058583614619
BEND4	28.9463309925475	3.02234251737687	0.648110312692898	4.66331496071871	3.1115596932952e-06	0.000500801988811264	shIFI6_2_Day2_vs_shSCR_Day2	BEND4	BEND4	8.12485754067111
