baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison_exp_vs_contr	gene	symbol	FoldChange
ADRB1	38.3686926621764	-2.45545781964547	0.6624430798155	-3.70666989279948	0.000210002379193568	0.0452483208539128	shIFI6_2_Day1_vs_shSCR_Day1	ADRB1	ADRB1	0.182319677179676
ARHGEF5	29.9194723860215	-4.38984064607974	0.770957068436248	-5.69401439561837	1.24086615140649e-08	1.21984898096704e-05	shIFI6_2_Day1_vs_shSCR_Day1	ARHGEF5	ARHGEF5	0.0477008688228781
BAGE2	26.1056483714476	-2.5118146568383	0.550288537399552	-4.56454112002433	5.00588079820113e-06	0.00224964283071159	shIFI6_2_Day1_vs_shSCR_Day1	BAGE2	BAGE2	0.175334930177703
C4orf32	73.5964770607335	2.81638171460086	0.374817232691235	7.51401341496195	5.73417049401306e-14	1.12740959625414e-10	shIFI6_2_Day1_vs_shSCR_Day1	C4orf32	C4orf32	7.04393557743584
CD7	240.399478046233	-1.35298402696681	0.246122119981512	-5.49720613112078	3.85855574673317e-08	3.19427491265084e-05	shIFI6_2_Day1_vs_shSCR_Day1	CD7	CD7	0.391481482455291
CHAC1	94.7809428758679	-1.5831524109065	0.389015624204074	-4.06963708500302	4.70864275167424e-05	0.0142427388155931	shIFI6_2_Day1_vs_shSCR_Day1	CHAC1	CHAC1	0.333751815355011
CHRDL1	371.895746894208	1.48797142048791	0.257287899598255	5.78329343436406	7.32521226031442e-09	7.6812175761657e-06	shIFI6_2_Day1_vs_shSCR_Day1	CHRDL1	CHRDL1	2.80494293535279
CRIP1	135.492509762761	-1.58376846400611	0.361285802440558	-4.38369970064541	1.166805883564e-05	0.00458817243564453	shIFI6_2_Day1_vs_shSCR_Day1	CRIP1	CRIP1	0.333609328591215
CRYBG3	235.402134102968	1.10932968760713	0.221581946119623	5.00640827032112	5.54550703136569e-07	0.000311518857486967	shIFI6_2_Day1_vs_shSCR_Day1	CRYBG3	CRYBG3	2.15745383280061
CYP51A1	86.9084817742853	3.19617772218545	0.565387951835226	5.65307009427914	1.57606994903756e-08	1.45823554284776e-05	shIFI6_2_Day1_vs_shSCR_Day1	CYP51A1	CYP51A1	9.16527216247075
DNTT	11.2106032025075	3.00443905972196	0.792097862562407	3.79301498176337	0.000148829173398832	0.0365770948185974	shIFI6_2_Day1_vs_shSCR_Day1	DNTT	DNTT	8.02465328250492
DYSF	52.3526808599739	-1.74602914223557	0.372122008207906	-4.69208781991754	2.70430989160441e-06	0.00128897243288017	shIFI6_2_Day1_vs_shSCR_Day1	DYSF	DYSF	0.298121196015884
