baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison_exp_vs_contr	gene	symbol	FoldChange
A2M	3.35654607008086	3.9161799782364	1.28051845041213	3.05827688540996	0.00222613781746672	0.00730354349767204	shIFI6_Day5_vs_shIFI6_Day0	A2M	A2M	15.0968952557811
A2M-AS1	12.7238191202219	1.75266064408122	0.540756686819179	3.24112616043763	0.00119058480056289	0.00426505225811403	shIFI6_Day5_vs_shIFI6_Day0	A2M-AS1	A2M-AS1	3.36979456957547
ABAT	153.953954414478	1.53797377111176	0.201097385422443	7.64790535630765	2.04279470967033e-14	8.79685156389449e-13	shIFI6_Day5_vs_shIFI6_Day0	ABAT	ABAT	2.90386376569097
ABCA1	917.13437536957	1.27222357193922	0.194471205614627	6.54196372115016	6.07162338441182e-11	1.28875102804612e-09	shIFI6_Day5_vs_shIFI6_Day0	ABCA1	ABCA1	2.41533545430319
ABCA12	71.0339190005321	7.434694340451	1.26264137823639	5.88820742658973	3.90406933517866e-09	5.64836768370175e-08	shIFI6_Day5_vs_shIFI6_Day0	ABCA12	ABCA12	173.007928064225
ABCA5	7.426992934752	1.52593752893242	0.643651051825741	2.37075279315405	0.0177518998101087	0.0426553829793001	shIFI6_Day5_vs_shIFI6_Day0	ABCA5	ABCA5	2.87973793694154
ABCA7	623.361861629417	1.27677719441431	0.197405680532535	6.46778345471109	9.94508728768443e-11	2.05265603365632e-09	shIFI6_Day5_vs_shIFI6_Day0	ABCA7	ABCA7	2.42297109542309
ABCA9	33.6501104966666	-1.30957274136961	0.337511885859502	-3.88007888384339	0.000104422592850594	0.000512914796175655	shIFI6_Day5_vs_shIFI6_Day0	ABCA9	ABCA9	0.403440342034625
ABCB1	215.864023099923	1.16815462600824	0.239464780169695	4.87818970781604	1.07063926465686e-06	8.85470885048031e-06	shIFI6_Day5_vs_shIFI6_Day0	ABCB1	ABCB1	2.24724064922186
ABCB11	3.82363019480198	6.53746891362633	1.45445323596559	4.49479484934157	6.96370510715012e-06	4.70057238459662e-05	shIFI6_Day5_vs_shIFI6_Day0	ABCB11	ABCB11	92.8911284419076
ABCB6	92.2602391344412	1.73109697320945	0.355204611976383	4.87352054236433	1.09626862656446e-06	9.02583528878147e-06	shIFI6_Day5_vs_shIFI6_Day0	ABCB6	ABCB6	3.31980148098305
ABCB9	191.450263915946	1.02698470835777	0.245501019365679	4.18321973167883	2.87409355511017e-05	0.000164276716405706	shIFI6_Day5_vs_shIFI6_Day0	ABCB9	ABCB9	2.03776079416138
ABCC3	3.64603657756571	5.46371625027442	1.23142106541959	4.43691959127947	9.125536182144e-06	5.96879006744607e-05	shIFI6_Day5_vs_shIFI6_Day0	ABCC3	ABCC3	44.1308689713181
ABCC4	1048.31451872133	1.30258020499779	0.159699334681106	8.15645354815557	3.45005109628939e-16	2.15792169330648e-14	shIFI6_Day5_vs_shIFI6_Day0	ABCC4	ABCC4	2.46669647652678
ABCG1	392.368218688178	1.29578586081292	0.265092928265674	4.88804386178982	1.01842843405486e-06	8.48260645073544e-06	shIFI6_Day5_vs_shIFI6_Day0	ABCG1	ABCG1	2.45510692932686
ABHD17C	196.600497825414	1.00094806798354	0.384227308578409	2.60509351010712	0.00918491885204439	0.0243819667417441	shIFI6_Day5_vs_shIFI6_Day0	ABHD17C	ABHD17C	2.00131473324112
ABHD2	2584.8746780951	1.22464237044102	0.10442323741099	11.7276805508439	9.19436799034071e-32	8.40263074672803e-29	shIFI6_Day5_vs_shIFI6_Day0	ABHD2	ABHD2	2.3369751127388
ABHD4	451.574306376884	1.04087392051296	0.166155842529809	6.26444369734527	3.7415871472186e-10	6.92340928816041e-09	shIFI6_Day5_vs_shIFI6_Day0	ABHD4	ABHD4	2.05747360193583
ABI3	130.808250463029	1.50497270537374	0.279113334893075	5.39197708325285	6.96866570369832e-08	7.55168319010786e-07	shIFI6_Day5_vs_shIFI6_Day0	ABI3	ABI3	2.83819301557071
ABLIM3	17.8672229193253	1.40905869391742	0.495989127657948	2.84090641375745	0.00449855117622723	0.0133311415688953	shIFI6_Day5_vs_shIFI6_Day0	ABLIM3	ABLIM3	2.65563835529228
AC003102.3	5.35960984385623	3.97346497466882	0.969235460711899	4.09958687618624	4.13888285517928e-05	0.000226119637886746	shIFI6_Day5_vs_shIFI6_Day0	AC003102.3	AC003102.3	15.708406960747
AC005264.2	2.57842371509541	4.50479113948021	1.47016028725667	3.06414965669232	0.00218289681214162	0.00718029445305531	shIFI6_Day5_vs_shIFI6_Day0	AC005264.2	AC005264.2	22.7026867687935
AC007551.3	23.7741438164105	1.42575653783493	0.375784669701875	3.79407850502801	0.000148192785284292	0.000698101751983565	shIFI6_Day5_vs_shIFI6_Day0	AC007551.3	AC007551.3	2.6865534435555
AC007880.1	15.9916746192901	2.72425729328612	0.554031007522317	4.91715672281462	8.78102508308946e-07	7.42662532734301e-06	shIFI6_Day5_vs_shIFI6_Day0	AC007880.1	AC007880.1	6.60819973472476
AC011747.4	4.15040138761066	2.97382272043334	1.22312035856006	2.43134103657168	0.0150430477296888	0.0371558761491562	shIFI6_Day5_vs_shIFI6_Day0	AC011747.4	AC011747.4	7.85615133238144
AC020571.3	4.00103089760171	5.27015419473601	1.29851740504024	4.05859341914073	4.93691833823629e-05	0.000263933398322999	shIFI6_Day5_vs_shIFI6_Day0	AC020571.3	AC020571.3	38.589974748561
AC058791.1	16.813283377498	1.07241797136243	0.457948078379189	2.34178943420405	0.0191915389836532	0.0454557848568459	shIFI6_Day5_vs_shIFI6_Day0	AC058791.1	AC058791.1	2.10295498894459
AC074138.3	15.0683484748548	1.51265383146895	0.423344669697796	3.57310234365004	0.000352776802582003	0.00148229333396525	shIFI6_Day5_vs_shIFI6_Day0	AC074138.3	AC074138.3	2.85334428148123
AC096559.1	4.53235603692006	3.33255163469406	0.961856089862817	3.46470919071621	0.000530805131355062	0.00211013639700115	shIFI6_Day5_vs_shIFI6_Day0	AC096559.1	AC096559.1	10.0739085520195
AC147651.4	28.620080877559	1.73473972351621	0.399618854062097	4.34098568143797	1.41844967591427e-05	8.79845292940789e-05	shIFI6_Day5_vs_shIFI6_Day0	AC147651.4	AC147651.4	3.32819444541688
ACACB	13.5283716339522	1.83713609666087	0.500748949101649	3.66877673923574	0.0002437137900419	0.00107771286187883	shIFI6_Day5_vs_shIFI6_Day0	ACACB	ACACB	3.5730004525709
ACAN	166.084939439438	3.36641053020494	0.490208741940667	6.86730007481669	6.54283507863746e-12	1.71932327545665e-10	shIFI6_Day5_vs_shIFI6_Day0	ACAN	ACAN	10.3131313088904
ACER2	177.275224401556	2.15565839885782	0.473144521069639	4.55602527951611	5.21306652228158e-06	3.64139890834531e-05	shIFI6_Day5_vs_shIFI6_Day0	ACER2	ACER2	4.45571945369649
ACER3	440.363841423269	1.10659700689427	0.318048708490574	3.4793318675811	0.000502665676723566	0.0020128296879025	shIFI6_Day5_vs_shIFI6_Day0	ACER3	ACER3	2.15337115958926
ACKR2	56.0880406968333	3.65446126270152	0.309414512263809	11.8108915964023	3.42905561586915e-32	4.54155533135795e-29	shIFI6_Day5_vs_shIFI6_Day0	ACKR2	ACKR2	12.5922245051729
ACKR3	35.7613635316905	-1.5763508627151	0.395958718344064	-3.98109901281513	6.85973656124833e-05	0.000353960685171064	shIFI6_Day5_vs_shIFI6_Day0	ACKR3	ACKR3	0.335328994458709
ACKR4	10.0657516095137	5.10507440856788	0.923664500733678	5.52697911905552	3.25791719244805e-08	3.83640832171776e-07	shIFI6_Day5_vs_shIFI6_Day0	ACKR4	ACKR4	34.4175955738337
ACOT11	343.967164952071	-1.2868492655874	0.186283543900613	-6.9080136583292	4.91486673137618e-12	1.31249282031068e-10	shIFI6_Day5_vs_shIFI6_Day0	ACOT11	ACOT11	0.409845122664653
ACP5	257.643662001763	4.70830614389801	0.546119411278004	8.62138581172173	6.6148627928103e-18	5.75738057892748e-16	shIFI6_Day5_vs_shIFI6_Day0	ACP5	ACP5	26.1421545648388
ACSM3	166.473894197739	4.11412205252697	0.418647696797578	9.82716991875916	8.60016120667849e-23	1.68419823630787e-20	shIFI6_Day5_vs_shIFI6_Day0	ACSM3	ACSM3	17.3170592799771
ACTA1	59.992904939196	4.23383294357705	0.62668711711296	6.7558959295056	1.41955289423476e-11	3.45950297928322e-10	shIFI6_Day5_vs_shIFI6_Day0	ACTA1	ACTA1	18.8152811688858
ACTA2	442.441967091113	1.4728511579968	0.184681213217541	7.97510007832734	1.52257395117298e-15	8.34878049893187e-14	shIFI6_Day5_vs_shIFI6_Day0	ACTA2	ACTA2	2.77569905601105
ACTC1	9.79832871397729	2.29781558051399	0.694861015558722	3.30687076848938	0.000943444056133184	0.00347662516204993	shIFI6_Day5_vs_shIFI6_Day0	ACTC1	ACTC1	4.91712687326777
ACVR2A	12.51097125397	4.5817375687069	0.933472413504847	4.9082731341831	9.18818335571625e-07	7.71938795717734e-06	shIFI6_Day5_vs_shIFI6_Day0	ACVR2A	ACVR2A	23.9464114561616
ACVR2B	123.729708325943	1.88607502131544	0.278487475973795	6.7725667544666	1.26517395523774e-11	3.10628530800908e-10	shIFI6_Day5_vs_shIFI6_Day0	ACVR2B	ACVR2B	3.69628249448567
ACY3	514.763642628458	1.81120766511422	0.170644341389259	10.6139333444562	2.56709573013131e-26	9.38416105792446e-24	shIFI6_Day5_vs_shIFI6_Day0	ACY3	ACY3	3.5093593044881
ADAM11	52.7427241179116	2.39041616419403	0.403727324720561	5.92086791709863	3.20246992370954e-09	4.75374091317925e-08	shIFI6_Day5_vs_shIFI6_Day0	ADAM11	ADAM11	5.24308583378018
ADAM12	22.7456257763311	2.57394564397236	0.38123553482882	6.75158900160789	1.4623463578291e-11	3.54802324281545e-10	shIFI6_Day5_vs_shIFI6_Day0	ADAM12	ADAM12	5.95435667576716
ADAM21	18.1563294024189	-1.80039109540485	0.477637722493506	-3.76936538011679	0.000163663152935997	0.000760310326404166	shIFI6_Day5_vs_shIFI6_Day0	ADAM21	ADAM21	0.287096750095206
ADAM22	81.6226537850182	-1.33196251661132	0.25072176699683	-5.31251248172704	1.08124018229093e-07	1.1257215821953e-06	shIFI6_Day5_vs_shIFI6_Day0	ADAM22	ADAM22	0.397227520482863
ADAM9	291.805128018773	1.49700997693293	0.261286522033037	5.72938077817749	1.00797902706869e-08	1.3404409858755e-07	shIFI6_Day5_vs_shIFI6_Day0	ADAM9	ADAM9	2.82257120619289
ADAMTS15	172.123083485332	1.01985722571197	0.308725722888193	3.30344104848471	0.000955060476281246	0.00351549448082938	shIFI6_Day5_vs_shIFI6_Day0	ADAMTS15	ADAMTS15	2.02771827935922
