baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison_exp_vs_contr	gene	symbol	FoldChange
C4orf32	73.5964770607335	1.52381457454255	0.355121240861306	4.29096995394224	1.77894385738523e-05	0.0161041857596227	shIFI6_Day4_vs_shSCR_Day4	C4orf32	C4orf32	2.87550346172638
CD7	240.399478046233	-1.22802525059608	0.216259971889748	-5.67846763256838	1.35906743217616e-08	4.61369416538003e-05	shIFI6_Day4_vs_shSCR_Day4	CD7	CD7	0.426901385340187
CHDH	36.6005079914643	2.88081203600009	0.717436872535681	4.01542232673136	5.93394397536928e-05	0.0447650140230775	shIFI6_Day4_vs_shSCR_Day4	CHDH	CHDH	7.36564586930723
CHRDL1	371.895746894208	1.25242777849202	0.302744137733185	4.13691834916985	3.52001293602763e-05	0.0284933906956471	shIFI6_Day4_vs_shSCR_Day4	CHRDL1	CHRDL1	2.38242001359986
CLDN5	30.227783748387	2.62844546125416	0.607040605022851	4.32993351598813	1.49154366222176e-05	0.0144669081352209	shIFI6_Day4_vs_shSCR_Day4	CLDN5	CLDN5	6.18359341189628
COL7A1	67.1447758499926	-2.21199588835026	0.509033692941833	-4.34548030714152	1.38971239913854e-05	0.0144669081352209	shIFI6_Day4_vs_shSCR_Day4	COL7A1	COL7A1	0.215835504769259
CYP51A1	86.9084817742853	2.89049315455334	0.582614997412884	4.96124055746702	7.00443807012697e-07	0.00118891580692818	shIFI6_Day4_vs_shSCR_Day4	CYP51A1	CYP51A1	7.41523880330171
HSPB1	996.4910974999	1.08402984662315	0.205374920296643	5.27829710198975	1.30389934945676e-07	0.000354112985325468	shIFI6_Day4_vs_shSCR_Day4	HSPB1	HSPB1	2.11994942407227
LINC00654	54.349631801175	2.2671847344838	0.461244206799777	4.91536739336863	8.86161165353182e-07	0.00133702027381454	shIFI6_Day4_vs_shSCR_Day4	LINC00654	LINC00654	4.81382846654085
MGST1	119.449183888915	2.78698714236857	0.362868486449451	7.6804331223092	1.58551603310712e-14	2.15297222135616e-10	shIFI6_Day4_vs_shSCR_Day4	MGST1	MGST1	6.90186924501427
PCYT1B	111.083292937181	1.76131942557476	0.353230428574817	4.98631851361496	6.15406595427719e-07	0.00118891580692818	shIFI6_Day4_vs_shSCR_Day4	PCYT1B	PCYT1B	3.3900802507596
PTPRM	216.587117750892	-1.0843382981286	0.23356006351088	-4.64265286551477	3.43963977499724e-06	0.00424607895497159	shIFI6_Day4_vs_shSCR_Day4	PTPRM	PTPRM	0.471608524811983
RAB30	21.6102896107111	-2.17941414230234	0.527210222853502	-4.13386168899827	3.56718198561014e-05	0.0284933906956471	shIFI6_Day4_vs_shSCR_Day4	RAB30	RAB30	0.220765380516923
RAB7B	248.922804395461	2.5260881439532	0.49912511709984	5.06103190845414	4.16993414615454e-07	0.000943725596177208	shIFI6_Day4_vs_shSCR_Day4	RAB7B	RAB7B	5.76007718520412
