baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison_exp_vs_contr	gene	symbol	FoldChange
AOAH	76.6753250802489	1.49370473251402	0.41112747756943	3.63319119739879	0.000279937425477741	0.0417722011050796	shIFI6_Day5_vs_shSCR_Day5	AOAH	AOAH	2.81611203857788
BEND4	28.9463309925475	2.01784978132596	0.537039852154788	3.7573557590366	0.000171718287526235	0.0315829262328797	shIFI6_Day5_vs_shSCR_Day5	BEND4	BEND4	4.0497975277459
C3orf18	58.3096152916694	-1.09143441693331	0.303544521690506	-3.59563207023099	0.000323604901285294	0.0462550626795053	shIFI6_Day5_vs_shSCR_Day5	C3orf18	C3orf18	0.469294540814256
C4orf32	73.5964770607335	2.11373306341033	0.399708355767353	5.28818833259671	1.23533753304538e-07	0.000152496803283847	shIFI6_Day5_vs_shSCR_Day5	C4orf32	C4orf32	4.32809769191798
CCDC25	85.7605715039834	1.32110767418712	0.310200292576304	4.2588859707866	2.05448233984482e-05	0.0102392984380891	shIFI6_Day5_vs_shSCR_Day5	CCDC25	CCDC25	2.4985787234205
CCL23	44.5041646211542	1.6397140394347	0.419786923465045	3.90606268985232	9.38121834946487e-05	0.0248933148966151	shIFI6_Day5_vs_shSCR_Day5	CCL23	CCL23	3.11604061841603
CD38	207.155310029626	1.85887346382855	0.51377599687589	3.61806210319629	0.000296817182694814	0.0433385002560525	shIFI6_Day5_vs_shSCR_Day5	CD38	CD38	3.62724316284623
CD7	240.399478046233	-1.54057642974416	0.207397730755696	-7.4281257761633	1.10147198413527e-13	4.98562935752429e-10	shIFI6_Day5_vs_shSCR_Day5	CD7	CD7	0.343748082322783
CHRDL1	371.895746894208	1.26131687548768	0.283575213152207	4.44790946806299	8.67100586535953e-06	0.00619703098135353	shIFI6_Day5_vs_shSCR_Day5	CHRDL1	CHRDL1	2.3971444969167
CYP51A1	86.9084817742853	2.48834549881506	0.530795508135912	4.68795508001532	2.75948567487996e-06	0.00249807039861299	shIFI6_Day5_vs_shSCR_Day5	CYP51A1	CYP51A1	5.61134065411598
DYX1C1	17.0613781142997	6.01657849108654	1.55038452530678	3.88070081510652	0.000104155904423269	0.0257151459302468	shIFI6_Day5_vs_shSCR_Day5	DYX1C1	DYX1C1	64.739687255809
FAM47E-STBD1	26.9220054847919	17.5791465852387	3.81408708937155	4.60900503143341	4.04600542794701e-06	0.0032318063356525	shIFI6_Day5_vs_shSCR_Day5	FAM47E-STBD1	FAM47E-STBD1	195817.012455819
FRY	241.731001601425	1.14314593288452	0.302910161293205	3.77387779929246	0.000160729513293309	0.0315829262328797	shIFI6_Day5_vs_shSCR_Day5	FRY	FRY	2.20862109160475
