baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison_exp_vs_contr	gene	symbol	FoldChange
ABCA1	917.13437536957	1.08659844106152	0.329351130182859	3.29920969288377	0.000969574554994863	0.0221613950203793	shIFI6_1_Day2_vs_shSCR_Day2	ABCA1	ABCA1	2.12372717367246
ABCA12	71.0339190005321	6.79867516642757	1.98168184448438	3.43076018249365	0.000601892456932488	0.0161062160289598	shIFI6_1_Day2_vs_shSCR_Day2	ABCA12	ABCA12	111.328191949972
ABCA13	134.833873217183	-1.83664762566054	0.348282477528117	-5.27344251911801	1.33888201611968e-07	3.68046494576608e-05	shIFI6_1_Day2_vs_shSCR_Day2	ABCA13	ABCA13	0.279971596113945
ABCA7	623.361861629417	1.18700865030989	0.32795084045885	3.61947128615099	0.000295205564436495	0.0100977668070484	shIFI6_1_Day2_vs_shSCR_Day2	ABCA7	ABCA7	2.27680170967052
ABCB1	215.864023099923	1.32178214138754	0.436498385346085	3.02814898236001	0.00246056748212409	0.0398727971728126	shIFI6_1_Day2_vs_shSCR_Day2	ABCB1	ABCB1	2.49974709465084
ABCB6	92.2602391344412	1.83413572615352	0.443287363303875	4.13757728730068	3.50992238931135e-05	0.00230723985234775	shIFI6_1_Day2_vs_shSCR_Day2	ABCB6	ABCB6	3.5655774109165
ABCB9	191.450263915946	1.96927221222201	0.43711582330598	4.50514968167493	6.63261740172013e-06	0.000759685928004596	shIFI6_1_Day2_vs_shSCR_Day2	ABCB9	ABCB9	3.9157053594518
ABCG1	392.368218688178	1.45834088817165	0.456550552507635	3.19425938740324	0.00140190093711517	0.027490713707191	shIFI6_1_Day2_vs_shSCR_Day2	ABCG1	ABCG1	2.74792168468608
ABHD17C	196.600497825414	1.68569616708442	0.495025937363082	3.40526837050969	0.000660990609020037	0.0170537833067815	shIFI6_1_Day2_vs_shSCR_Day2	ABHD17C	ABHD17C	3.21695591851789
ABHD3	367.728298885012	1.18889963036241	0.347722957053124	3.41910019527637	0.000628285867904641	0.0164628319529467	shIFI6_1_Day2_vs_shSCR_Day2	ABHD3	ABHD3	2.2797879328999
ABHD4	451.574306376884	1.36151579746259	0.302140610846564	4.50623235866168	6.59888256516554e-06	0.000759685928004596	shIFI6_1_Day2_vs_shSCR_Day2	ABHD4	ABHD4	2.56955012847615
ABLIM3	17.8672229193253	2.81188052915681	0.837029908064833	3.35935490723112	0.000781246637464031	0.0190356376824799	shIFI6_1_Day2_vs_shSCR_Day2	ABLIM3	ABLIM3	7.02199285940352
