baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison_exp_vs_contr	gene	symbol	FoldChange
ARHGEF5	29.9194723860215	-2.81652516280501	0.618007904419966	-4.55742579125824	5.17843775648583e-06	0.0028086774990264	shIFI6_2_Day3_vs_shSCR_Day3	ARHGEF5	ARHGEF5	0.141951976027128
C4orf32	73.5964770607335	1.99909131451811	0.326797193156354	6.11722302511227	9.52200605213667e-10	1.40612551395045e-06	shIFI6_2_Day3_vs_shSCR_Day3	C4orf32	C4orf32	3.99748138214335
CD7	240.399478046233	-1.32700318495658	0.25302808343068	-5.24448973001105	1.56715434346571e-07	0.000154061066677326	shIFI6_2_Day3_vs_shSCR_Day3	CD7	CD7	0.398595358312775
CHDH	36.6005079914643	2.73540621765892	0.538371014057343	5.08089430194985	3.75662110192176e-07	0.000347575843012514	shIFI6_2_Day3_vs_shSCR_Day3	CHDH	CHDH	6.65946471005429
CHRDL1	371.895746894208	1.31586974317893	0.263783715842748	4.98844190959602	6.08682081208651e-07	0.000478698022766544	shIFI6_2_Day3_vs_shSCR_Day3	CHRDL1	CHRDL1	2.48952368862262
CYP51A1	86.9084817742853	2.67002615450219	0.638746791164109	4.18010108455668	2.91379542162317e-05	0.0120608126807134	shIFI6_2_Day3_vs_shSCR_Day3	CYP51A1	CYP51A1	6.36440724881989
DOCK1	649.881269392328	1.02593965234459	0.216870923862739	4.73064638666788	2.23806072206389e-06	0.001303794707309	shIFI6_2_Day3_vs_shSCR_Day3	DOCK1	DOCK1	2.03628522032957
DYSF	52.3526808599739	-1.61415446713581	0.378707239199777	-4.26227518266243	2.02356038928701e-05	0.00911247116461991	shIFI6_2_Day3_vs_shSCR_Day3	DYSF	DYSF	0.326656337010041
ECI2	181.322201532267	-1.06305951339386	0.212357163708594	-5.00599788972806	5.55733656853582e-07	0.000460059720455263	shIFI6_2_Day3_vs_shSCR_Day3	ECI2	ECI2	0.47861598504341
GGH	120.24859440598	1.29450223654636	0.279426228814566	4.63271555443503	3.60900248687053e-06	0.00202735714699952	shIFI6_2_Day3_vs_shSCR_Day3	GGH	GGH	2.45292349264882
GPHN	124.827260666353	-2.22780804315951	0.268622730606929	-8.29344574871225	1.10014125887798e-16	4.32603046522294e-13	shIFI6_2_Day3_vs_shSCR_Day3	GPHN	GPHN	0.213482831526046
