baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison_exp_vs_contr	gene	symbol	FoldChange
ANKEF1	43.6705174099328	3.17986507737807	0.442735992450019	7.18230532778978	6.85456254577089e-13	2.69538535706076e-09	shIFI6_1_Day1_vs_shSCR_Day1	ANKEF1	ANKEF1	9.06222353239856
BEND4	28.9463309925475	1.94512137516234	0.464914309044928	4.18382772334582	2.86641366779585e-05	0.0125238390502114	shIFI6_1_Day1_vs_shSCR_Day1	BEND4	BEND4	3.85070172159471
BMP6	34.8386475720171	-2.02724901050154	0.456478641888942	-4.44105994118945	8.95168532363527e-06	0.00454196962759546	shIFI6_1_Day1_vs_shSCR_Day1	BMP6	BMP6	0.245322419431924
C1orf85	108.999335273851	-1.15381113701601	0.245835857283785	-4.69342084496683	2.68673976720949e-06	0.00183842587585894	shIFI6_1_Day1_vs_shSCR_Day1	C1orf85	C1orf85	0.449436395103361
C4orf32	73.5964770607335	2.68691303985085	0.379001009784907	7.08946142749261	1.34634919356548e-12	4.23534529311827e-09	shIFI6_1_Day1_vs_shSCR_Day1	C4orf32	C4orf32	6.43934095038257
CD7	240.399478046233	-1.56995948284354	0.250410861396229	-6.26953429292096	3.62129537763354e-10	6.32881722164421e-07	shIFI6_1_Day1_vs_shSCR_Day1	CD7	CD7	0.336817853395007
CHRDL1	371.895746894208	1.88494509850156	0.257255627828463	7.32712871789316	2.35135964223192e-13	1.23281786042219e-09	shIFI6_1_Day1_vs_shSCR_Day1	CHRDL1	CHRDL1	3.69338868900571
COL6A2	112.260948468909	2.02094082715852	0.339360280735721	5.955148383238	2.59835971739407e-09	3.14381538422241e-06	shIFI6_1_Day1_vs_shSCR_Day1	COL6A2	COL6A2	4.05848372221837
CPNE8	81.3857563265657	2.06250799708965	0.415871907129841	4.95947901680626	7.06824817382151e-07	0.000617647086255769	shIFI6_1_Day1_vs_shSCR_Day1	CPNE8	CPNE8	4.17711828408107
CYP51A1	86.9084817742853	2.72648330133946	0.568042812063699	4.7997848814144	1.58836148225905e-06	0.00124916688772263	shIFI6_1_Day1_vs_shSCR_Day1	CYP51A1	CYP51A1	6.61840373458802
DOCK1	649.881269392328	1.01330209926051	0.216639796703417	4.67735898334384	2.90593278816675e-06	0.00190447570104478	shIFI6_1_Day1_vs_shSCR_Day1	DOCK1	DOCK1	2.01852590124943
DYSF	52.3526808599739	-1.86844221129361	0.38446433549562	-4.85985835041101	1.17469771195817e-06	0.000972464226915265	shIFI6_1_Day1_vs_shSCR_Day1	DYSF	DYSF	0.273868983106059
FCGR1A	56.3490449398688	-2.25965054262889	0.494336183462295	-4.57108060915642	4.85215575045896e-06	0.0027544758088612	shIFI6_1_Day1_vs_shSCR_Day1	FCGR1A	FCGR1A	0.208822555856799
FCGR2B	148.781224174689	-1.27855705270506	0.325804182163319	-3.92431135848386	8.69781835715562e-05	0.031092723849932	shIFI6_1_Day1_vs_shSCR_Day1	FCGR2B	FCGR2B	0.412207582182977
GGH	120.24859440598	1.22522829721806	0.272756064620841	4.49202953166689	7.05476380071391e-06	0.00382635792487687	shIFI6_1_Day1_vs_shSCR_Day1	GGH	GGH	2.3379244293672
GOLM1	62.5711003391697	3.0095696482542	0.348861540942082	8.6268312641371	6.30751260277376e-18	9.92108657290284e-14	shIFI6_1_Day1_vs_shSCR_Day1	GOLM1	GOLM1	8.05324178346114
HDC	564.294894463781	2.52517497308215	0.636361278689314	3.96814680221139	7.24337110584951e-05	0.0273542831349545	shIFI6_1_Day1_vs_shSCR_Day1	HDC	HDC	5.75643242991367
HLF	114.055553140816	1.58569398034979	0.372350821953482	4.25860206788505	2.05709288967892e-05	0.0098048527459878	shIFI6_1_Day1_vs_shSCR_Day1	HLF	HLF	3.00152145480041
HSPB1	996.4910974999	1.15354857774585	0.21504871310204	5.3641268580784	8.13417237012644e-08	8.52949314731458e-05	shIFI6_1_Day1_vs_shSCR_Day1	HSPB1	HSPB1	2.22460404905972
KLHL33	88.5827568266394	-1.453887869436	0.309779152401362	-4.69330443370924	2.68826976570384e-06	0.00183842587585894	shIFI6_1_Day1_vs_shSCR_Day1	KLHL33	KLHL33	0.365036373277397
LINC00654	54.349631801175	1.82343789995641	0.443204320417498	4.11421508309921	3.88499075080056e-05	0.015668466543421	shIFI6_1_Day1_vs_shSCR_Day1	LINC00654	LINC00654	3.53923583944824
LOX	578.34571758088	2.081869877109	0.243713943479295	8.54226823212463	1.31612488121834e-17	1.03506641283417e-13	shIFI6_1_Day1_vs_shSCR_Day1	LOX	LOX	4.23355571962175
MGST1	119.449183888915	1.74172463028722	0.289304821474189	6.02037885650176	1.74009299393353e-09	2.48817479105278e-06	shIFI6_1_Day1_vs_shSCR_Day1	MGST1	MGST1	3.34434719736291
MOCS2	28.3711389024165	1.80806933748432	0.479297006125854	3.77233597200804	0.000161726284231479	0.0498782887191556	shIFI6_1_Day1_vs_shSCR_Day1	MOCS2	MOCS2	3.50173361183827
