baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison_exp_vs_contr	gene	symbol	FoldChange
ABCA6	30.2948135449225	3.02697560486912	0.58302606671782	5.19183579888575	2.08230612166132e-07	0.000280429844420825	shIFI6_1_Day3_vs_shSCR_Day3	ABCA6	ABCA6	8.15099174325676
ABCA9	33.6501104966666	2.45876166672786	0.565914003747881	4.34476201409438	1.39426736436678e-05	0.00860611530655392	shIFI6_1_Day3_vs_shSCR_Day3	ABCA9	ABCA9	5.49744652890604
ACSM3	166.473894197739	1.90387026799098	0.455391704669368	4.18073111229213	2.90573308376924e-05	0.0153734035367705	shIFI6_1_Day3_vs_shSCR_Day3	ACSM3	ACSM3	3.74215746876103
ALAS2	42.6638645110641	7.54204428569089	1.92885642534388	3.9101118085273	9.22534089729196e-05	0.0350421025775598	shIFI6_1_Day3_vs_shSCR_Day3	ALAS2	ALAS2	186.372383164268
AMOTL2	59.9488669399499	2.33332307545058	0.459424912904316	5.07879091862949	3.79844448351736e-07	0.000468917971490218	shIFI6_1_Day3_vs_shSCR_Day3	AMOTL2	AMOTL2	5.03964836643086
ANGPT2	188.650862219784	1.18310642717779	0.248356344066298	4.76374554322624	1.90032116271892e-06	0.00201081126460843	shIFI6_1_Day3_vs_shSCR_Day3	ANGPT2	ANGPT2	2.2706517034048
ANKEF1	43.6705174099328	2.28551415140456	0.417096556764648	5.47958048163459	4.2633548823959e-08	7.01748213642365e-05	shIFI6_1_Day3_vs_shSCR_Day3	ANKEF1	ANKEF1	4.87537824508783
C4orf32	73.5964770607335	1.46584798607803	0.337057698716677	4.34895269165827	1.36789213694472e-05	0.00860611530655392	shIFI6_1_Day3_vs_shSCR_Day3	C4orf32	C4orf32	2.76225782731139
CAPNS2	16.8728758948483	2.87019558602186	0.688536441323564	4.16854564807713	3.06549372875867e-05	0.0156593876199417	shIFI6_1_Day3_vs_shSCR_Day3	CAPNS2	CAPNS2	7.31164277332392
CD7	240.399478046233	-1.30156730376571	0.257347681426473	-5.05762203316211	4.2451676931584e-07	0.00048375318620345	shIFI6_1_Day3_vs_shSCR_Day3	CD7	CD7	0.405685233541523
CELSR1	95.7956741359908	1.52425643445874	0.383572556517273	3.97384121611448	7.07227198661797e-05	0.0308143050616937	shIFI6_1_Day3_vs_shSCR_Day3	CELSR1	CELSR1	2.87638428842479
CHRDL1	371.895746894208	1.81851324598437	0.263525123358768	6.90072059470631	5.17394084932095e-12	3.83233798709203e-08	shIFI6_1_Day3_vs_shSCR_Day3	CHRDL1	CHRDL1	3.52717521869725
