baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison_exp_vs_contr	gene	symbol	FoldChange
ABTB2	342.554805948666	-1.13917177557506	0.2597546563726	-4.38556825692085	1.15683374274301e-05	0.0077896977568159	shIFI6_1_Day5_vs_shSCR_Day5	ABTB2	ABTB2	0.454020147390505
AOAH	76.6753250802489	1.51286116954849	0.400806827576053	3.77453941764859	0.000160303560832301	0.0471708651250098	shIFI6_1_Day5_vs_shSCR_Day5	AOAH	AOAH	2.85375438162055
B3GNT8	115.714314747893	-1.30821987492575	0.332623764526517	-3.93303189502402	8.38811025745686e-05	0.0306265241405546	shIFI6_1_Day5_vs_shSCR_Day5	B3GNT8	B3GNT8	0.403818839827873
C4orf32	73.5964770607335	1.88043736076616	0.415119328031423	4.52987185560248	5.90194721091309e-06	0.00460165505170876	shIFI6_1_Day5_vs_shSCR_Day5	C4orf32	C4orf32	3.68186661100771
CCDC25	85.7605715039834	1.58662366968022	0.348895676566176	4.54755898753385	5.42717117208582e-06	0.00446656187462663	shIFI6_1_Day5_vs_shSCR_Day5	CCDC25	CCDC25	3.00345629320712
CD7	240.399478046233	-1.4729400839645	0.253879909618881	-5.80171974291171	6.56382041760991e-09	1.94472871332947e-05	shIFI6_1_Day5_vs_shSCR_Day5	CD7	CD7	0.360247398200599
CHRDL1	371.895746894208	1.48754878076082	0.259156627633734	5.73996040287718	9.46986908217781e-09	2.3381106763897e-05	shIFI6_1_Day5_vs_shSCR_Day5	CHRDL1	CHRDL1	2.80412134336285
CYP51A1	86.9084817742853	2.54990957688641	0.592611159068517	4.30283759910027	1.68624451655647e-05	0.00999201050730704	shIFI6_1_Day5_vs_shSCR_Day5	CYP51A1	CYP51A1	5.85597574006296
FAM222A	50.0445975827657	-2.02109930797406	0.520854905503555	-3.88034995277636	0.000104306277486633	0.0359347254578369	shIFI6_1_Day5_vs_shSCR_Day5	FAM222A	FAM222A	0.246370374735998
GOLM1	62.5711003391697	2.13586626443306	0.409903925885835	5.21065091000843	1.88179240318444e-07	0.000278768726607742	shIFI6_1_Day5_vs_shSCR_Day5	GOLM1	GOLM1	4.39500944094364
GUSBP9	165.308967316717	-1.30101515895769	0.291376555488357	-4.46506465414538	8.00445761803875e-06	0.0059289017576813	shIFI6_1_Day5_vs_shSCR_Day5	GUSBP9	GUSBP9	0.405840526142043
HLF	114.055553140816	1.55383254992758	0.325330935940209	4.77615983686578	1.78674392983461e-06	0.00176458830510466	shIFI6_1_Day5_vs_shSCR_Day5	HLF	HLF	2.93596048256415
IL17RB	36.2959490039556	4.77228412892834	1.16421711418113	4.09913586632422	4.14695554184854e-05	0.021155768907515	shIFI6_1_Day5_vs_shSCR_Day5	IL17RB	IL17RB	27.3275483044542
IPO11-LRRC70	23.6755546865592	-6.77699641870092	1.5823016877865	-4.28299891923981	1.84391067543302e-05	0.0105060356714865	shIFI6_1_Day5_vs_shSCR_Day5	IPO11-LRRC70	IPO11-LRRC70	0.00911844530575966
KIAA0087	754.465405438209	1.16156089537671	0.214110836201001	5.42504487856125	5.79399805158875e-08	0.000107290358920295	shIFI6_1_Day5_vs_shSCR_Day5	KIAA0087	KIAA0087	2.23699323794188
KLHL33	88.5827568266394	-1.6024545432115	0.31260445001934	-5.12614117653271	2.95740881473237e-07	0.000365092118178711	shIFI6_1_Day5_vs_shSCR_Day5	KLHL33	KLHL33	0.329316215459638
